UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity,UUID
115.1484,220.6749,3.927302,684.76,-445.2557,-518.1158,46.9,20.0,-14.15176,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
116.1489,221.9524,3.845678,699.2735,-466.4207,-518.8792,46.9,20.0,-14.50648,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
117.1496,223.1773,3.765564,714.123,-487.5897,-519.6426,46.9,20.0,-14.83958,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
118.1511,224.3526,3.687058,729.2985,-508.7766,-520.4067,46.9,20.0,-15.15246,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
119.152,225.4786,3.610536,744.7588,-529.9505,-521.1703,46.9,20.0,-15.44629,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
120.1527,226.558,3.535682,760.4915,-551.1197,-521.9337,46.9,20.0,-15.72202,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
121.1543,227.594,3.462776,776.4975,-572.3074,-522.6979,46.9,20.0,-15.98115,b778a512-6c8d-4cae-a52f-3bf1c63a9bb3
122.1554,228.5629,3.393441,792.3304,-592.9551,-523.4425,46.9,16.67496,-15.81521,380f9f29-ca50-477b-8498-25aa88967ad0
2.002714,153.1693,11.53005,234.6384,103.7682,-205.1529,46.9,20.0,-14.07561,11180a90-936b-47fc-a251-1c4e9ebab163
3.003664,149.6205,10.83002,249.6063,123.9837,-211.4988,46.9,20.0,-14.9537,11180a90-936b-47fc-a251-1c4e9ebab163
4.00426,146.4771,10.1809,265.3366,144.2304,-217.7188,46.9,20.0,-15.7209,11180a90-936b-47fc-a251-1c4e9ebab163
5.004325,143.6901,9.583101,281.7194,164.4928,-223.8488,46.9,20.0,-16.38172,11180a90-936b-47fc-a251-1c4e9ebab163
6.005446,141.215,9.033528,298.703,184.7867,-229.9516,46.9,20.0,-16.96462,11180a90-936b-47fc-a251-1c4e9ebab163
7.007191,138.9982,8.531221,316.1479,205.1242,-235.9533,46.9,20.0,-17.41454,11180a90-936b-47fc-a251-1c4e9ebab163
8.010654,136.9341,8.077763,333.7687,225.6491,-241.4217,46.9,20.0,-17.55998,11180a90-936b-47fc-a251-1c4e9ebab163
9.010657,134.8224,7.686357,350.6539,246.4825,-244.959,46.9,20.0,-16.88516,11180a90-936b-47fc-a251-1c4e9ebab163
10.01079,132.312,7.385862,364.8362,267.5543,-243.558,46.9,20.0,-14.18041,11180a90-936b-47fc-a251-1c4e9ebab163
11.01099,129.4292,7.919635,375.5648,287.3231,-236.2554,51.74697,20.0,-10.72651,11180a90-936b-47fc-a251-1c4e9ebab163
12.01107,126.3198,8.164309,381.6674,304.4016,-223.7675,54.20151,20.00714,-6.102089,11180a90-936b-47fc-a251-1c4e9ebab163
13.01161,123.2773,8.850351,384.3641,317.512,-208.3861,59.13609,22.20726,-2.695189,11180a90-936b-47fc-a251-1c4e9ebab163
14.01325,120.1876,10.6971,383.9269,326.0933,-189.696,71.26324,23.46393,0.4364811,11180a90-936b-47fc-a251-1c4e9ebab163
15.01327,117.0037,11.97895,387.2649,337.5304,-172.008,80.37787,20.69561,-3.337962,11180a90-936b-47fc-a251-1c4e9ebab163
16.01403,113.8125,12.42994,388.9393,347.4888,-153.3516,83.71742,20.09364,-1.673133,11180a90-936b-47fc-a251-1c4e9ebab163
17.01565,110.6345,12.69221,386.5637,352.9247,-132.8986,84.93324,20.01244,2.371784,11180a90-936b-47fc-a251-1c4e9ebab163
18.01726,107.5294,13.42947,381.9558,354.2597,-111.8976,88.70852,20.15793,4.600483,11180a90-936b-47fc-a251-1c4e9ebab163
19.01835,104.336,13.84299,377.3394,354.9706,-90.71873,90.28313,20.02102,4.611346,11180a90-936b-47fc-a251-1c4e9ebab163
20.0186,101.0722,14.08309,373.3865,355.4226,-69.55231,90.85563,20.00279,3.951962,11180a90-936b-47fc-a251-1c4e9ebab163
21.01962,97.78508,14.29519,368.8036,354.0902,-48.41043,91.06418,20.00037,4.578178,11180a90-936b-47fc-a251-1c4e9ebab163
22.0204,94.45975,14.49913,364.028,351.3671,-27.40486,91.13998,20.00005,4.771986,62bb2bf2-3c19-432e-964f-932b5f1837b1
23.02234,91.06531,14.67918,359.7685,347.9654,-6.470538,91.16763,20.00001,4.251246,62bb2bf2-3c19-432e-964f-932b5f1837b1
24.02244,87.60744,14.81834,356.5034,344.3462,14.38754,91.17767,20.0,3.264719,62bb2bf2-3c19-432e-964f-932b5f1837b1
25.02414,84.10321,14.9443,353.5807,339.8138,35.09708,91.18131,20.0,2.917789,62bb2bf2-3c19-432e-964f-932b5f1837b1
26.02537,80.57243,15.07929,350.4926,333.8531,55.43404,91.18262,20.0,3.084209,62bb2bf2-3c19-432e-964f-932b5f1837b1
27.02749,76.99125,15.18229,348.172,327.3962,75.63802,91.18312,20.0,2.315722,62bb2bf2-3c19-432e-964f-932b5f1837b1
28.02786,73.41931,15.33953,344.688,318.5866,94.85787,91.18326,20.0,3.482697,62bb2bf2-3c19-432e-964f-932b5f1837b1
29.0291,69.86182,15.58337,339.4248,306.9598,112.5633,91.18326,20.0,5.256663,62bb2bf2-3c19-432e-964f-932b5f1837b1
30.02954,66.18522,15.7499,335.9257,295.7853,130.548,91.18326,20.0,3.497603,62bb2bf2-3c19-432e-964f-932b5f1837b1
31.03044,62.54578,15.98603,331.0904,282.4411,146.7429,91.18326,20.0,4.830952,62bb2bf2-3c19-432e-964f-932b5f1837b1
32.03255,59.51728,16.63939,318.436,262.9313,154.7716,91.18326,20.0,12.6278,62bb2bf2-3c19-432e-964f-932b5f1837b1
33.0331,56.94163,17.52852,302.7529,241.9599,157.4812,91.18326,20.0,15.67451,62bb2bf2-3c19-432e-964f-932b5f1837b1
34.03356,54.41676,18.56578,286.3858,220.7884,157.9713,91.18326,20.0,16.35953,62bb2bf2-3c19-432e-964f-932b5f1837b1
35.03442,51.20599,19.57691,272.1303,199.8384,160.6398,91.18326,20.0,14.24329,62bb2bf2-3c19-432e-964f-932b5f1837b1
36.03518,46.81005,20.19314,264.157,180.756,169.6815,91.18326,20.0,7.967233,62bb2bf2-3c19-432e-964f-932b5f1837b1
