,UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity,UUID,Label
8423,2023-11-16T14:46:04.381547Z,214.6533476,9.019087453,860.830654,38.88995774,-86.85296748,366.0,18.5897789,-14.75451469,200549d5-d6db-45e9-bf53-228a88d50647,1
8424,2023-11-16T14:46:04.589026Z,214.8990677,8.985702369,857.6027741,38.88999945,-86.8529815,365.0,19.1622448,-14.55265427,200549d5-d6db-45e9-bf53-228a88d50647,1
8425,2023-11-16T14:46:04.785266Z,215.0289511,9.0194222,854.425683,38.89003309,-86.85297836,365.0,19.1622448,-14.51557636,200549d5-d6db-45e9-bf53-228a88d50647,1
8426,2023-11-16T14:46:04.986193Z,215.4110319,9.185995198,851.5925317,38.89008574,-86.85301004,367.0,20.47457123,-14.40390873,200549d5-d6db-45e9-bf53-228a88d50647,1
8427,2023-11-16T14:46:05.185652Z,215.5719159,9.220701955,848.4173869,38.89012165,-86.85301063,367.0,20.47457123,-14.35305977,200549d5-d6db-45e9-bf53-228a88d50647,1
8428,2023-11-16T14:46:05.386635Z,215.9591588,9.320082398,845.6267506,38.89017325,-86.85304332,368.0,21.42568398,-14.27089977,200549d5-d6db-45e9-bf53-228a88d50647,1
8429,2023-11-16T14:46:05.584496Z,216.148185,9.355187627,842.4842632,38.89021101,-86.85304733,368.0,21.42568398,-14.20915413,200549d5-d6db-45e9-bf53-228a88d50647,1
8430,2023-11-16T14:46:05.785835Z,216.4164011,9.391495058,839.2590119,38.89025545,-86.85306112,368.0,21.76719856,-14.22897053,200549d5-d6db-45e9-bf53-228a88d50647,1
8431,2023-11-16T14:46:05.989883Z,216.617771,9.426948821,836.1335996,38.89029395,-86.8530663,368.0,21.76719856,-14.16289806,200549d5-d6db-45e9-bf53-228a88d50647,1
8432,2023-11-16T14:46:06.194916Z,216.7949841,9.394907338,832.8360634,38.8903306,-86.85306795,367.0,21.52574921,-13.94862938,200549d5-d6db-45e9-bf53-228a88d50647,1
8433,2023-11-16T14:46:06.398258Z,216.9968649,9.430047152,829.7630449,38.89036866,-86.85307303,367.0,21.52574921,-13.88272667,200549d5-d6db-45e9-bf53-228a88d50647,1
8434,2023-11-16T14:46:06.603098Z,217.0876408,9.520950611,827.9599157,38.89039004,-86.85307109,368.0,19.93874931,-13.73080063,200549d5-d6db-45e9-bf53-228a88d50647,1
8435,2023-11-16T14:46:06.807235Z,217.2807802,9.554913836,825.0464367,38.8904262,-86.85307575,368.0,19.93874931,-13.67920685,200549d5-d6db-45e9-bf53-228a88d50647,1
8436,2023-11-16T14:46:07.011247Z,217.3848971,9.571832262,823.6028658,38.89044475,-86.85307905,368.0,18.84758568,-13.63281536,200549d5-d6db-45e9-bf53-228a88d50647,1
8437,2023-11-16T14:46:07.215192Z,217.5450845,9.589611091,822.0914272,38.89046814,-86.85308906,368.0,18.84500694,-13.59294319,200549d5-d6db-45e9-bf53-228a88d50647,1
8438,2023-11-16T14:46:07.419613Z,217.7764343,9.539947103,820.2988908,38.89049789,-86.85310728,367.0,19.8764534,-13.75640392,200549d5-d6db-45e9-bf53-228a88d50647,1
8439,2023-11-16T14:46:07.623682Z,217.9618443,9.560113839,818.5859517,38.8905247,-86.85311879,367.0,20.8445282,-13.82919502,200549d5-d6db-45e9-bf53-228a88d50647,1
